MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,NM,배포처
서울특별시,11,중구,11140,197758,451122,삼성에버랜드(주),biz-gis.com
서울특별시,11,강남구,11680,203017,444168,유코카캐리어스(주),biz-gis.com
전라남도,46,나주시,46170,173777,168648,금호산업(주),biz-gis.com
경기도,41,평택시,41220,187369,386251,(주)풍산,biz-gis.com
서울특별시,11,중구,11140,198248,451382,(주)호텔롯데,biz-gis.com
서울특별시,11,강남구,11680,204721,445573,대한해운(주),biz-gis.com
서울특별시,11,송파구,11710,209084,445906,쌍용건설(주),biz-gis.com
서울특별시,11,강남구,11680,204744,444843,동부건설(주),biz-gis.com
경기도,41,수원시 영통구,41117,204448,416167,도시바삼성스토리지테크놀러지코리아(주),biz-gis.com
서울특별시,11,중구,11140,197813,450455,에스케이브로드밴드(주),biz-gis.com
경기도,41,평택시,41220,187046,383715,(주)만도,biz-gis.com
서울특별시,11,중구,11140,197531,451069,대한통운(주),biz-gis.com
서울특별시,11,중구,11140,197816,451197,한화손해보험(주),biz-gis.com
경기도,41,평택시,41220,208291,391734,쌍용자동차(주),biz-gis.com
서울특별시,11,강남구,11680,202901,444137,(주)포스코피앤에스,biz-gis.com
서울특별시,11,용산구,11170,197138,447437,(주)아모레퍼시픽,biz-gis.com
서울특별시,11,중구,11140,198429,450839,(주)엘지씨엔에스,biz-gis.com
서울특별시,11,종로구,11110,198200,451926,에스케이루브리컨츠(주),biz-gis.com
서울특별시,11,중구,11140,197813,450455,에스케이해운(주),biz-gis.com
울산광역시,31,남구,31140,410840,224270,삼성석유화학(주),biz-gis.com
충청남도,44,서산시,44210,150055,373214,현대파워텍(주),biz-gis.com
서울특별시,11,중구,11140,198711,451488,동양종합금융증권(주),biz-gis.com
서울특별시,11,영등포구,11560,193675,447291,(주)엘지하우시스,biz-gis.com
경상북도,47,영주시,47210,345198,366750,노벨리스코리아(주),biz-gis.com
서울특별시,11,중구,11140,198512,451645,유니온스틸(주),biz-gis.com
서울특별시,11,동작구,11590,192805,443834,(주)농심,biz-gis.com
서울특별시,11,중구,11140,197831,450795,롯데손해보험(주),biz-gis.com
서울특별시,11,종로구,11110,200028,452234,삼남석유화학(주),biz-gis.com
서울특별시,11,구로구,11530,190383,444897,(주)세아베스틸,biz-gis.com
서울특별시,11,종로구,11110,197276,453411,대한유화공업(주),biz-gis.com
서울특별시,11,강남구,11680,204254,444825,메트라이프생명보험(주),biz-gis.com
서울특별시,11,중구,11140,198624,451673,미래에셋증권(주),biz-gis.com
대전광역시,30,대덕구,30230,236729,326230,한라공조(주),biz-gis.com
대전광역시,30,서구,30170,234538,316330,(주)홈플러스테스코,biz-gis.com
서울특별시,11,종로구,11110,197408,451919,(주)엘지생활건강,biz-gis.com
경상남도,48,창원시 성산구,48123,347788,188897,볼보그룹코리아(주),biz-gis.com
경상남도,48,창원시 성산구,48123,348435,191964,두산엔진(주),biz-gis.com
경기도,41,성남시 분당구,41135,210811,431542,리빙프라자(주),biz-gis.com
경상남도,48,창원시 마산회원구,48127,343490,193479,(주)경남은행,biz-gis.com
서울특별시,11,영등포구,11560,193644,446559,신영증권(주),biz-gis.com
서울특별시,11,종로구,11110,200028,452234,(주)삼양홀딩스,biz-gis.com
서울특별시,11,종로구,11110,200006,452380,서울보증보험(주),biz-gis.com
서울특별시,11,강남구,11680,204744,444843,동부생명보험(주),biz-gis.com
