MEGA_NM,MEGA_CD,CTY_CD,CTY_NM,X_AXIS,Y_AXIS,TOTAL,종합전문병,한방병원,치과병원,한의원,조산원,일반병원,요양병원,의원,치과의원,종합병원,소유권,배포처
전라남도,46,4617,나주시,273050,261450,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4617,나주시,281550,275750,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4617,나주시,294750,257650,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4617,나주시,288850,266350,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4617,나주시,279050,264250,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경기도,41,4136,남양주시,322450,562750,31,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경기도,41,4136,남양주시,337950,554050,31,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경기도,41,4136,남양주시,339550,551150,31,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라북도,45,4519,남원시,327650,304150,14,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라북도,45,4519,남원시,341950,327850,14,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라북도,45,4519,남원시,346050,323850,14,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라북도,45,4519,남원시,343050,304650,14,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
제주특별자치도,50,5013,서귀포시,235750,76850,2,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
제주특별자치도,50,5013,서귀포시,241650,72050,2,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상남도,48,4884,남해군,384550,252750,20,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상남도,48,4884,남해군,399650,255650,20,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4423,논산시,314150,404450,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4423,논산시,322050,408950,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4423,논산시,334150,400850,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4423,논산시,324550,404950,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4423,논산시,321450,395050,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청북도,43,4380,단양군,437850,488550,12,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청북도,43,4380,단양군,434650,491650,12,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경기도,41,4127,안산시,296650,525150,31,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
대구광역시,27,2771,달성군,439950,355850,8,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
대구광역시,27,2771,달성군,441350,338950,8,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
대구광역시,27,2771,달성군,437050,362750,8,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4483,당진군,281450,469050,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4483,당진군,274750,487650,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4483,당진군,283950,485150,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4483,당진군,285450,472150,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
대전광역시,30,3023,대덕구,348750,427250,30,0,0,0,0,0,0,0,15,10,0,GIS United INC.,biz-gis.com
제주특별자치도,50,5013,서귀포시,291350,82350,2,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라북도,45,4573,무주군,386650,368150,14,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4728,문경시,408050,446650,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4728,문경시,407550,451250,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4728,문경시,417850,443950,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4728,문경시,420950,451350,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상남도,48,4827,밀양시,459250,318950,20,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상남도,48,4827,밀양시,471250,309250,20,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상남도,48,4827,밀양시,459250,327650,20,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상남도,48,4887,함양군,367250,328150,20,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4418,보령시,271450,408850,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4418,보령시,277150,400650,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4418,보령시,267550,434550,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4678,보성군,322650,248150,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4678,보성군,318450,245750,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4678,보성군,316050,241650,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4678,보성군,325850,252750,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청북도,43,4372,보은군,386250,419750,12,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청북도,43,4372,보은군,376350,421950,12,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
부산광역시,26,2644,강서구,481850,280950,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
부산광역시,26,2629,남구,499050,282450,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
부산광역시,26,2632,북구,492550,290950,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
부산광역시,26,2650,수영구,501650,285450,48,0,0,0,0,0,0,0,16,16,0,GIS United INC.,biz-gis.com
부산광역시,26,2620,영도구,497550,277450,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
부산광역시,26,2635,해운대구,504550,292750,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
부산광역시,26,2647,연제구,498550,286950,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라북도,45,4580,부안군,282450,352050,14,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라북도,45,4580,부안군,280550,343750,14,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라북도,45,4580,부안군,285550,341650,14,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라북도,45,4580,부안군,283450,346750,14,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4476,부여군,296850,407950,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4476,부여군,305550,397150,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4476,부여군,297050,386750,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4476,부여군,294750,410150,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4476,부여군,300150,405350,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
제주특별자치도,50,5011,제주시,245750,151150,2,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
강원도,42,4219,태백시,488050,519950,18,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상남도,48,4824,사천시,399850,273850,20,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상남도,48,4824,사천시,412850,278450,20,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상남도,48,4824,사천시,397950,267750,40,0,0,0,20,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상남도,48,4824,사천시,405150,271250,20,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상남도,48,4824,사천시,408250,276550,20,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상남도,48,4886,산청군,396650,294350,20,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상남도,48,4886,산청군,385650,304750,20,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4725,상주시,408250,409050,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4725,상주시,389650,413150,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4725,상주시,416750,437750,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
제주특별자치도,50,5013,서귀포시,279450,76350,2,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4421,서산시,259050,459150,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
서울특별시,11,1168,강남구,316350,546450,25,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
서울특별시,11,1174,강동구,322950,547850,75,0,0,0,25,0,0,0,25,0,0,GIS United INC.,biz-gis.com
서울특별시,11,1154,금천구,303050,539450,125,0,0,0,0,0,0,0,75,25,0,GIS United INC.,biz-gis.com
서울특별시,11,1138,은평구,305650,556150,25,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
서울특별시,11,1114,중구,313150,551850,25,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4477,서천군,289350,389350,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4477,서천군,290050,396750,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4477,서천군,291350,391450,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4477,서천군,285150,382550,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4477,서천군,288550,396250,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4477,서천군,272750,396650,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4477,서천군,282550,395650,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4784,성주군,419750,372050,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4784,성주군,425350,368550,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4784,성주군,417550,359150,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경기도,41,4111,수원시,318050,517550,31,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라북도,45,4577,순창군,331450,316050,14,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라북도,45,4577,순창군,322050,307850,14,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라북도,45,4577,순창군,302950,315350,14,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라북도,45,4577,순창군,328150,311150,14,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4615,순천시,354150,260850,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4615,순천시,350750,258650,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4615,순천시,332950,264250,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4615,순천시,346050,276150,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4615,순천시,342150,276750,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4615,순천시,348150,278350,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4691,신안군,230350,268650,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4691,신안군,236650,275050,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4691,신안군,235150,272350,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라남도,46,4691,신안군,134950,165450,22,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
전라북도,45,4518,정읍시,301950,344050,14,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
