MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,SCHOOL_NM,배포처
충청북도,43,청주시 상당구,43111,354942,450272,청주대학교,biz-gis.com
서울특별시,11,서대문구,11410,307735,551685,추계예술대학교,biz-gis.com
충청남도,44,청양군,44790,292754,426907,충남도립청양대학,biz-gis.com
충청북도,43,청주시 흥덕구,43113,351638,447704,충북대학교,biz-gis.com
충청북도,43,충주시,43130,388740,485308,충주대학교,biz-gis.com
경기도,41,용인시 기흥구,41463,322962,522926,칼빈대학교,biz-gis.com
경기도,41,평택시,41220,323051,488508,평택대학교,biz-gis.com
경상북도,47,포항시 북구,47113,527207,388179,포항대학,biz-gis.com
대전광역시,30,유성구,30200,343102,419331,한국과학기술원,biz-gis.com
충청북도,43,청원군,43710,342906,445536,한국교원대학교,biz-gis.com
충청남도,44,천안시 동남구,44131,336080,462834,한국기술교육대학교,biz-gis.com
경상북도,47,경산시,47290,466125,354136,한국복지사이버대학,biz-gis.com
경기도,41,시흥시,41390,287985,527229,한국산업기술대학교,biz-gis.com
서울특별시,11,노원구,11350,317637,561137,한국성서대학교,biz-gis.com
서울특별시,11,성북구,11290,316864,556285,한국예술종합학교,biz-gis.com
경기도,41,용인시 처인구,41461,335788,526638,한국외국어대학교(용인),biz-gis.com
경기도,41,평택시,41220,319694,494846,한국재활복지대학,biz-gis.com
경기도,41,광주시,41610,333615,532990,한국정보통신기능대학,biz-gis.com
서울특별시,11,송파구,11710,323390,546729,한국체육대학교,biz-gis.com
서울특별시,11,강서구,11500,297984,550443,한국폴리텍I대학서울강서캠퍼스,biz-gis.com
서울특별시,11,용산구,11170,311514,547909,한국폴리텍I대학서울정수캠퍼스,biz-gis.com
경기도,41,성남시 수정구,41131,325306,540020,한국폴리텍I대학성남캠퍼스,biz-gis.com
인천광역시,28,남구,28170,283133,541917,한국폴리텍II대학인천캠퍼스,biz-gis.com
강원도,42,춘천시,42110,380719,577441,한국폴리텍III대학춘천캠퍼스,biz-gis.com
대전광역시,30,동구,30110,351215,416832,한국폴리텍IV대학대전캠퍼스,biz-gis.com
충청남도,44,홍성군,44800,280010,443286,한국폴리텍IV대학홍성캠퍼스,biz-gis.com
전라북도,45,김제시,45210,304425,357205,한국폴리텍V대학김제캠퍼스,biz-gis.com
전라북도,45,익산시,45140,309225,372883,한국폴리텍V대학익산캠퍼스,biz-gis.com
경상북도,47,예천군,47900,433855,433855,한국폴리텍VI대학구미캠퍼스,biz-gis.com
부산광역시,26,북구,26320,493053,291572,한국폴리텍VII대학부산캠퍼스,biz-gis.com
경상남도,48,창원시 성산구,48123,461056,292234,한국폴리텍VII대학창원캠퍼스,biz-gis.com
전라남도,46,무안군,46840,256724,259415,한국폴리텍V대학목포캠퍼스,biz-gis.com
경기도,41,안성시,41550,326907,489959,한국폴리텍여자대학,biz-gis.com
부산광역시,26,영도구,26200,499672,275869,한국해양대학교,biz-gis.com
경상북도,47,포항시 북구,47113,525213,390092,한동대학교,biz-gis.com
전라남도,46,광양시,46230,360362,262103,한려대학교,biz-gis.com
강원도,42,춘천시,42110,378718,588413,한림성심대학,biz-gis.com
대전광역시,30,유성구,30200,337462,416947,한밭대학교,biz-gis.com
충청남도,44,서산시,44210,273668,455379,한서대학교,biz-gis.com
경기도,41,군포시,41410,307458,527572,한세대학교,biz-gis.com
경기도,41,안산시 상록구,41271,296942,522274,한양대학교(ERICA),biz-gis.com
서울특별시,11,성동구,11200,315786,550839,한양대학교,biz-gis.com
서울특별시,11,성동구,11200,316252,551115,한양여자대학,biz-gis.com
전라남도,46,여수시,46130,374053,239529,한영대학,biz-gis.com
강원도,42,동해시,42170,496362,545357,한중대학교,biz-gis.com
충청남도,44,홍성군,44800,280267,442943,혜전대학,biz-gis.com
충청남도,44,아산시,44200,317593,459864,호서대학교,biz-gis.com
충청남도,44,연기군,44730,336547,446822,홍익대학교(조치원),biz-gis.com
부산광역시,26,연제구,26470,500659,287994,화신사이버대학교,biz-gis.com
경상남도,48,남해군,48840,390833,248744,경남도립남해대학,biz-gis.com
대구광역시,27,북구,27230,455393,365734,경북대학교,biz-gis.com
경기도,41,성남시 수정구,41131,323119,539097,경원대학교,biz-gis.com
인천광역시,28,계양구,28245,287333,550374,경인여자대학,biz-gis.com
경기도,41,용인시 기흥구,41463,318471,516292,경희대학교(국제),biz-gis.com
서울특별시,11,종로구,11110,310719,554323,고려사이버대학교,biz-gis.com
전라남도,46,나주시,46170,296436,269280,광주가톨릭대학교,biz-gis.com
광주광역시,29,광산구,29200,295063,288558,광주보건대학,biz-gis.com
경기도,41,수원시 팔달구,41115,314006,519077,국제디지털대학교,biz-gis.com
충청남도,44,논산시,44230,327767,411938,금강대학교,biz-gis.com
경상북도,47,경산시,47290,469521,357085,대구미래대학,biz-gis.com
대전광역시,30,유성구,30200,343278,421323,대덕대학,biz-gis.com
대전광역시,30,동구,30110,351735,415081,대전대학교,biz-gis.com
경기도,41,포천시,41650,326092,585949,대진대학교,biz-gis.com
부산광역시,26,해운대구,26350,504635,293288,동부산대학,biz-gis.com
경상북도,47,영주시,47210,447552,475947,동양대학교,biz-gis.com
부산광역시,26,사하구,26380,491058,278855,동주대학,biz-gis.com
경기도,41,용인시 처인구,41461,328182,513676,명지대학교,biz-gis.com
서울특별시,11,서대문구,11410,305249,554112,명지전문대학,biz-gis.com
전라남도,46,목포시,46110,250536,244933,목포해양대학교,biz-gis.com
충청남도,44,천안시 동남구,44131,327358,471341,백석대학교,biz-gis.com
부산광역시,26,남구,26290,500814,282169,부경대학교,biz-gis.com
부산광역시,26,금정구,26410,498446,293242,부산대학교,biz-gis.com
경상남도,48,김해시,48250,478548,295663,부산장신대학교,biz-gis.com
서울특별시,11,동대문구,11230,317037,555430,사이버한국외국어대학교,biz-gis.com
서울특별시,11,마포구,11440,306584,550447,서강대학교,biz-gis.com
충청남도,44,아산시,44200,310465,459341,서남대학교,biz-gis.com
서울특별시,11,은평구,11380,304138,555942,서울기독대학교,biz-gis.com
경기도,41,부천시 소사구,41197,293092,542616,서울신학대학교,biz-gis.com
충청북도,43,청주시 흥덕구,43113,353935,447160,서원대학교,biz-gis.com
경상북도,47,포항시 북구,47113,520264,388697,선린대학,biz-gis.com
서울특별시,11,구로구,11530,296371,543456,성공회대학교,biz-gis.com
전라남도,46,강진군,46810,281707,233043,성화대학,biz-gis.com
강원도,42,횡성군,42730,400401,541075,송호대학,biz-gis.com
경기도,41,안산시 상록구,41271,300539,523629,안산대학,biz-gis.com
경기도,41,안양시 만안구,41171,304540,532707,안양대학교,biz-gis.com
경상북도,47,경산시,47290,473987,364886,영남신학대학교,biz-gis.com
대구광역시,27,북구,27230,456351,366396,영진사이버대학,biz-gis.com
전라북도,45,임실군,45750,334090,338830,예원예술대학교,biz-gis.com
대전광역시,30,동구,30110,351145,415126,우송대학교,biz-gis.com
전라북도,45,익산시,45140,305961,375096,원광보건대학,biz-gis.com
대전광역시,30,중구,30140,346812,414837,을지대학교,biz-gis.com
인천광역시,28,강화군,28710,263176,562822,인천가톨릭대학교,biz-gis.com
전라남도,46,담양군,46710,308430,303586,전남도립대학,biz-gis.com
전라북도,45,익산시,45140,306340,371894,전북대학교,biz-gis.com
서울특별시,11,강서구,11500,295390,550134,정석대학,biz-gis.com
