,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,POP,POP_10,POP_20,POP_30,POP_40,POP_50,POP_60,POP_70,POP_80_O
11570,서울특별시,11,영등포구,11560,302250,548550,4.84458,0.0,0.0,1.61486,3.22972,0.0,0.0,0.0,0.0
11571,서울특별시,11,구로구,11530,298750,545250,27.32599,0.0,4.0989,10.93039,6.8315,5.4652,0.0,0.0,0.0
11572,서울특별시,11,강서구,11500,298750,550450,64.82709,0.0,14.40602,28.81204,0.0,14.40602,7.20301,0.0,0.0
11573,서울특별시,11,동대문구,11230,317850,553150,354.68359,0.0,90.5045,101.17506,110.19833,47.45619,5.12586,0.22365,0.0
11574,서울특별시,11,동대문구,11230,317450,554750,16.91071,0.00663,2.92708,5.42589,5.06707,2.54318,0.69414,0.23866,0.00806
11575,서울특별시,11,성동구,11200,315650,550850,8.08079,0.01707,1.98096,1.98095,3.33382,0.47785,0.2048,0.06827,0.01707
11576,서울특별시,11,중구,11140,309950,551250,1057.78946,0.19763,110.77275,279.15748,311.44047,256.38782,83.87382,14.36833,1.59116
11577,서울특별시,11,강북구,11305,313150,562750,7.12524,0.0,0.0,0.0,4.75016,2.37508,0.0,0.0,0.0
11578,서울특별시,11,영등포구,11560,301850,547450,45.72481,0.0,8.16924,16.60025,16.30564,3.81355,0.44424,0.39189,0.0
11579,서울특별시,11,동작구,11590,306150,544050,18.34635,0.0,18.34635,0.0,0.0,0.0,0.0,0.0,0.0
11580,서울특별시,11,동대문구,11230,318450,553050,4.71491,0.0,0.0,0.0,0.0,4.71491,0.0,0.0,0.0
11581,서울특별시,11,동대문구,11230,315350,554050,149.79535,3.49045,22.89524,43.8379,60.02872,16.05259,0.0,3.49045,0.0
11582,서울특별시,11,성북구,11290,314750,555550,79.93393,0.0,10.9884,30.48613,21.9768,10.9884,0.0,5.4942,0.0
11583,서울특별시,11,서대문구,11410,303650,553150,174.52512,0.0,31.52169,68.68575,53.08332,15.92447,5.30989,0.0,0.0
11584,서울특별시,11,관악구,11620,307250,543150,52.4633,0.0,0.97202,23.23917,24.74124,3.12207,0.3888,0.0,0.0
11585,서울특별시,11,중구,11140,310950,551550,932.18996,0.24786,181.38752,370.43568,221.96798,106.52913,37.70904,13.32413,0.58862
11586,서울특별시,11,강남구,11680,320650,541150,0.27638,0.0,0.01286,0.05142,0.0707,0.10284,0.03213,0.00643,0.0
11587,서울특별시,11,중랑구,11260,320150,555150,43.00375,0.0,4.22434,11.65349,15.51176,7.77405,3.83406,0.00605,0.0
11588,서울특별시,11,구로구,11530,301550,544650,74.20647,0.0,8.66756,30.01567,26.71647,6.71898,2.08779,0.0,0.0
11589,서울특별시,11,동작구,11590,307550,544750,127.76783,0.0,30.13477,48.91403,32.47932,10.25544,3.21258,2.77169,0.0
11590,서울특별시,11,은평구,11380,305150,556150,38.35459,0.0,2.23114,11.56245,10.24808,13.4453,0.74366,0.12396,0.0
11591,서울특별시,11,성동구,11200,315450,552250,258.14477,0.0,17.37512,69.50051,81.91133,42.19675,34.75026,12.4108,0.0
11592,서울특별시,11,구로구,11530,298850,543950,43.68497,0.0,3.61948,11.43435,13.84976,9.36085,3.02619,2.39434,0.0
11593,서울특별시,11,양천구,11470,297350,547750,42.1824,0.0,2.10912,14.76384,21.0912,2.10912,0.0,2.10912,0.0
11594,서울특별시,11,서대문구,11410,306050,555350,3.00002,0.03151,0.81088,1.02642,0.63826,0.33584,0.12606,0.0289,0.00215
11595,서울특별시,11,종로구,11110,308750,555150,40.68039,0.0,10.09109,21.84293,5.17491,1.83357,1.71868,0.01921,0.0
11596,서울특별시,11,은평구,11380,303850,557350,91.67612,6.78793,16.13597,12.9006,31.04288,14.18063,9.34804,1.28007,0.0
11597,서울특별시,11,종로구,11110,307850,557250,0.85171,0.0,0.01607,0.24105,0.20891,0.1607,0.11249,0.11249,0.0
11598,서울특별시,11,도봉구,11320,316450,564650,14.16666,0.0,0.0,7.08333,0.0,0.0,7.08333,0.0,0.0
11599,서울특별시,11,서초구,11650,316150,541450,98.09855,0.0,21.77964,33.19153,19.65579,20.08766,3.38393,0.0,0.0
11600,서울특별시,11,노원구,11350,316850,560550,32.4006,0.0,3.24006,0.0,9.72018,12.96024,6.48012,0.0,0.0
11601,서울특별시,11,강북구,11305,312050,562050,6.22764,0.0,1.03794,1.03794,1.03794,1.03794,2.07588,0.0,0.0
