,MEGA_NM,MEGA_CD,CTY_CD,CTY_NM,X_AXIS,Y_AXIS,TOTAL,종합전문병,한방병원,치과병원,한의원,조산원,일반병원,요양병원,의원,치과의원,종합병원,소유권
5018,서울특별시,11,1135,노원구,317450,561450,75,0,0,0,50,0,0,0,25,0,0,GIS United INC.
5019,서울특별시,11,1165,서초구,310950,545350,50,0,0,0,0,0,0,0,50,0,0,GIS United INC.
5020,서울특별시,11,1123,동대문구,314650,552850,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
5021,서울특별시,11,1135,노원구,317350,561350,125,0,0,0,25,0,0,0,25,75,0,GIS United INC.
5022,서울특별시,11,1162,관악구,305950,541550,300,0,0,0,25,0,0,0,200,75,0,GIS United INC.
5023,서울특별시,11,1130,강북구,314150,560050,50,0,0,0,0,0,0,0,50,0,0,GIS United INC.
5024,서울특별시,11,1174,강동구,324550,549550,50,0,0,0,25,0,0,0,25,0,0,GIS United INC.
5025,서울특별시,11,1168,강남구,314250,547150,375,0,0,0,50,0,0,0,250,75,0,GIS United INC.
5026,서울특별시,11,1168,강남구,316350,544650,175,0,0,0,25,0,0,0,100,50,0,GIS United INC.
5027,서울특별시,11,1126,중랑구,319650,554550,75,0,0,0,25,0,0,0,50,0,0,GIS United INC.
5028,서울특별시,11,1138,은평구,305050,560750,50,0,0,0,0,0,0,0,25,25,0,GIS United INC.
5029,서울특별시,11,1121,광진구,319050,551950,75,0,0,0,0,0,0,0,75,0,0,GIS United INC.
5030,서울특별시,11,1121,광진구,319350,548150,125,0,0,0,0,0,0,0,75,50,0,GIS United INC.
5031,서울특별시,11,1144,마포구,306950,549450,100,0,0,0,25,0,0,0,50,25,0,GIS United INC.
5032,서울특별시,11,1159,동작구,304950,545250,75,0,0,0,0,0,0,0,50,25,0,GIS United INC.
5033,서울특별시,11,1168,강남구,313950,545250,75,0,0,0,0,0,0,0,50,25,0,GIS United INC.
5034,서울특별시,11,1129,성북구,314450,556650,50,0,0,0,0,0,0,0,25,25,0,GIS United INC.
5035,서울특별시,11,1168,강남구,314350,547350,350,0,0,0,50,0,0,0,275,25,0,GIS United INC.
5036,서울특별시,11,1121,광진구,320050,548550,175,0,0,0,50,0,0,0,100,25,0,GIS United INC.
5037,서울특별시,11,1168,강남구,315050,547750,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
5038,서울특별시,11,1168,강남구,314150,547550,200,0,0,0,25,0,0,0,50,125,0,GIS United INC.
5039,서울특별시,11,1144,마포구,303450,551150,150,0,0,0,25,0,0,0,100,25,0,GIS United INC.
5040,서울특별시,11,1168,강남구,316250,543250,200,0,0,0,50,0,0,0,125,25,0,GIS United INC.
5041,서울특별시,11,1154,금천구,303150,541550,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
