,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,HO_CNT,PY_SUM,PR_SUM,PY_10U,PY_10,PY_20,PY_30,PY_40,PY_50O,PR_05U,PR_05,PR_1,PR_2,PR_3,PR_4,PR_5,PR_6,PR_7_O
4880,서울특별시,11,광진구,11215,318650,548950,17,337.0,3065000000.0,1,4,12,0,0,0,0,1,6,10,0,0,0,0,0
4881,서울특별시,11,광진구,11215,317650,548850,20,328.0,3323000000.0,2,11,7,0,0,0,0,1,14,5,0,0,0,0,0
4882,서울특별시,11,광진구,11215,317650,549350,5,69.0,522000000.0,0,4,1,0,0,0,0,4,1,0,0,0,0,0,0
4883,서울특별시,11,중랑구,11260,318350,557050,8,115.0,489000000.0,0,8,0,0,0,0,1,7,0,0,0,0,0,0,0
4884,서울특별시,11,성북구,11290,312050,555050,16,403.0,2545000000.0,0,0,16,0,0,0,0,0,16,0,0,0,0,0,0
4885,서울특별시,11,성북구,11290,314050,556650,19,282.0,1986000000.0,7,5,7,0,0,0,3,5,11,0,0,0,0,0,0
4886,서울특별시,11,성북구,11290,315750,557050,11,137.0,1014000000.0,4,5,2,0,0,0,0,9,0,2,0,0,0,0,0
4887,서울특별시,11,강북구,11305,315150,559650,4,76.0,259000000.0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0
4888,서울특별시,11,은평구,11380,305150,557850,25,482.0,3628000000.0,0,12,13,0,0,0,1,3,17,4,0,0,0,0,0
4889,서울특별시,11,서대문구,11410,305850,551050,16,159.0,985000000.0,8,8,0,0,0,0,1,15,0,0,0,0,0,0,0
4890,서울특별시,11,서대문구,11410,305650,552250,4,71.0,370000000.0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0
4891,서울특별시,11,서대문구,11410,305850,553350,15,290.0,1461000000.0,0,10,5,0,0,0,0,6,9,0,0,0,0,0,0
4892,서울특별시,11,서대문구,11410,307250,555750,37,675.0,3076000000.0,0,24,13,0,0,0,5,23,9,0,0,0,0,0,0
4893,서울특별시,11,마포구,11440,306350,550850,14,121.0,908000000.0,14,0,0,0,0,0,3,11,0,0,0,0,0,0,0
4894,서울특별시,11,강서구,11500,298050,548150,108,1801.0,8405000000.0,1,88,19,0,0,0,25,56,27,0,0,0,0,0,0
4895,서울특별시,11,강서구,11500,296750,550750,7,132.0,522000000.0,0,4,3,0,0,0,0,7,0,0,0,0,0,0,0
4896,서울특별시,11,구로구,11530,298750,544750,11,233.0,1304000000.0,0,3,8,0,0,0,0,3,8,0,0,0,0,0,0
4897,서울특별시,11,구로구,11530,298750,543050,9,183.0,973000000.0,0,0,9,0,0,0,0,1,8,0,0,0,0,0,0
4898,서울특별시,11,금천구,11545,303850,539050,8,172.0,984000000.0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0
4899,서울특별시,11,영등포구,11560,304150,544950,17,193.0,2396000000.0,5,12,0,0,0,0,0,5,11,1,0,0,0,0,0
4900,서울특별시,11,영등포구,11560,302650,543650,8,124.0,634000000.0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0
4901,서울특별시,11,동작구,11590,305050,544950,12,182.0,1177000000.0,0,9,3,0,0,0,0,8,4,0,0,0,0,0,0
4902,서울특별시,11,관악구,11620,306850,542650,13,173.0,1615000000.0,6,5,2,0,0,0,0,6,5,2,0,0,0,0,0
4903,서울특별시,11,서초구,11650,314950,542050,18,297.0,4551000000.0,9,7,0,0,0,2,0,13,3,0,0,0,0,0,0
4904,서울특별시,11,서초구,11650,311650,544450,15,268.0,2654000000.0,0,14,1,0,0,0,0,0,10,5,0,0,0,0,0
4905,서울특별시,11,강남구,11680,316550,546550,3,73.0,1068000000.0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0
4906,서울특별시,11,강남구,11680,316450,545050,66,806.0,8520000000.0,24,36,6,0,0,0,0,20,40,5,1,0,0,0,0
4907,서울특별시,11,강남구,11680,314150,546650,76,1071.0,11055000000.0,32,31,9,4,0,0,1,23,37,12,1,2,0,0,0
4908,서울특별시,11,송파구,11710,321650,545750,4,46.0,443000000.0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0
4909,서울특별시,11,송파구,11710,325050,544350,4,64.0,961000000.0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0
4910,서울특별시,11,강동구,11740,324350,549250,36,689.0,5098000000.0,0,20,16,0,0,0,0,7,29,0,0,0,0,0,0
4911,서울특별시,11,강북구,11305,313950,559850,19,389.0,4604000000.0,0,11,7,1,0,0,0,0,1,18,0,0,0,0,0
4912,서울특별시,11,마포구,11440,303350,551750,33,583.0,5199000000.0,0,33,0,0,0,0,0,5,28,0,0,0,0,0,0
4913,서울특별시,11,서초구,11650,313550,543650,8,256.0,3024000000.0,0,1,3,0,4,0,0,0,1,3,0,1,3,0,0
4914,서울특별시,11,영등포구,11560,303650,545050,4,70.0,511000000.0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0
4915,서울특별시,11,서초구,11650,311350,542950,7,138.0,1643000000.0,0,4,3,0,0,0,0,0,1,6,0,0,0,0,0
4916,서울특별시,11,강남구,11680,316250,544950,8,98.0,869000000.0,3,4,1,0,0,0,0,4,3,1,0,0,0,0,0
4917,서울특별시,11,양천구,11470,299550,547750,2,83.0,415000000.0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
4918,서울특별시,11,중구,11140,312150,551450,16,240.0,1621000000.0,0,14,2,0,0,0,0,9,7,0,0,0,0,0,0
4919,서울특별시,11,강남구,11680,316350,541850,10,157.0,1588000000.0,0,9,1,0,0,0,0,1,7,2,0,0,0,0,0
4920,서울특별시,11,관악구,11620,304250,543150,16,205.0,1150000000.0,2,13,1,0,0,0,1,13,2,0,0,0,0,0,0
4921,서울특별시,11,강서구,11500,298150,549950,20,410.0,1869000000.0,0,12,8,0,0,0,0,12,8,0,0,0,0,0,0
4922,서울특별시,11,성북구,11290,312150,557150,6,100.0,568000000.0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0
4923,서울특별시,11,용산구,11170,309150,549950,20,283.0,4220000000.0,5,12,3,0,0,0,0,1,8,8,3,0,0,0,0
4924,서울특별시,11,중랑구,11260,319250,556250,20,348.0,1658000000.0,0,14,6,0,0,0,0,16,4,0,0,0,0,0,0
4925,서울특별시,11,서초구,11650,312150,542550,45,1266.0,18150000000.0,0,0,45,0,0,0,0,0,0,0,12,33,0,0,0
4926,서울특별시,11,서초구,11650,314050,543150,4,107.0,962000000.0,0,2,0,1,1,0,0,0,2,1,0,1,0,0,0
4927,서울특별시,11,강동구,11740,324750,547550,18,497.0,4109000000.0,0,0,12,6,0,0,0,0,0,18,0,0,0,0,0
4928,서울특별시,11,동작구,11590,306950,544850,2,34.0,224000000.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
