,정류소번호,정류소명,lat,lon
92,1175,청계2가.수표교,322548.3411051796,4159831.5735623897
93,1176,청계4가.세운교,323063.09152125637,4159868.5289922534
94,1177,청계5가.광장시장,323356.5268687265,4159926.90178577
95,1185,종로2가,322266.4565993222,4159925.8038366293
96,1198,원남동,323151.3622785887,4160495.3501200154
97,1199,창덕궁.서울돈화문국악당,322322.1667271207,4160808.6028643046
98,1200,안국역.종로경찰서.인사동,321997.77897616324,4160659.0602994
99,1201,조계사,321899.71273193223,4160281.625492855
100,1202,조계사,321864.80050471635,4160295.6732100127
101,1203,안국동,321860.5222405388,4160531.6408919455
102,1204,종로5가.효제동,323583.2980627239,4160482.542773866
103,1205,종로5가.효제초등학교,323571.8970096057,4160302.8368155127
104,1212,종로5가,323569.81643677445,4160045.3994466322
105,1213,청계6가.동대문시장,323626.99660933483,4159963.756438276
