,구분,대여소번호,대여소명,대여소 주소,거치대수,lat,lon
708,성동구,521,왕십리역 11번 출구 앞,서울특별시 성동구 행당동 188-9,14,326440.04411979625,4158973.2644611876
709,성동구,522,금호역 1번출구 앞,서울특별시 성동구 금호동3가 1575-3,9,324776.45044509147,4157586.6283981646
710,성동구,523,옥수동성당 옆,서울특별시 성동구 옥수동 산5-148,11,324555.839037792,4157038.6781688593
711,성동구,524,래미안금호하이리버 아파트 102동 옆,서울특별시 성동구 금호동2가 1220-1,10,325547.0908648225,4157965.48177059
712,성동구,525,한양대병원사거리,서울특별시 성동구 행당동 20-2,20,326912.0009478933,4158586.531251013
713,성동구,526,용답토속공원 앞,서울특별시 성동구 용답동 224-1,10,328370.836739099,4159162.2245651768
714,성동구,529,장한평역 8번 출구 앞,서울특별시 성동구 용답동 224-3,15,328978.49923468044,4158912.121613673
715,성동구,530,청계벽산아파트 앞,서울특별시 성동구 하왕십리동 286-24,9,326058.03772675456,4159791.744616927
716,성동구,533,우리은행 금호동 지점 앞,서울특별시 성동구 금호동4가 1101,7,325187.1718689292,4157523.3525518384
717,성동구,534,금호사거리,서울특별시 성동구 금호동2가 1205-1,20,325598.05551262683,4157568.5503415787
718,성동구,535,응봉삼거리,서울특별시 성동구 응봉동 134-26,16,326305.4141697211,4158147.8412555135
719,성동구,536,행당역 2번출구 앞,서울특별시 성동구 행당동 347-11,8,325926.4027316387,4158529.217454573
720,성동구,537,한양대후문역 부근,서울특별시 성동구 행당동 10,10,327009.6403922966,4158840.2596177086
721,성동구,538,답십리역 8번출구 앞,서울특별시 성동구 용답동 102-1,15,327888.37535129057,4159631.681423193
722,성동구,550,서울시설공단 앞,서울특별시 성동구 마장동 610 ,15,326529.05962367915,4160102.920806339
723,성동구,556,달맞이공원,서울특별시 성동구 금호동4가 367-1,20,325112.23011194676,4156848.2144503156
724,성동구,557,도선동 주민센터 앞,서울특별시 성동구 무학로10길 6,10,325639.7242906835,4159677.7492180886
725,성동구,558,성동광진 교육지원청 앞,서울특별시 성동구 고산자로 260,20,326588.87638254283,4159320.830780102
726,성동구,559,왕십리역 4번 출구 건너편,서울특별시 성동구 왕십리광장로 10-1,10,326605.02764224843,4158930.85107048
727,성동구,560,비전교회 앞,서울특별시 성동구 동일로 213,8,329420.9962992235,4157774.5171960043
728,성동구,561,서울숲역 2번출구 앞,서울특별시 성동구 왕십리로 64,10,327258.2549524325,4156887.992563748
729,성동구,562,군자지하보도 앞,서울특별시 성동구 동일로 313,10,329834.88842348044,4158658.6264079344
730,성동구,563,성동세무서 건너편,서울특별시 성동구 광나루로 302,10,328867.5081940386,4157420.473674327
731,성동구,564,금호역 3번출구,서울특별시 성동구 동호로 99,15,324699.3319787397,4157509.1061540376
732,성동구,565,옥수역 3번출구,서울특별시 성동구 한림말길 56,20,324868.6132013051,4156776.752057112
733,성동구,567,성수역 2번출구 앞,서울특별시 성동구 아차산로 113,15,328359.04812033346,4157062.0924069663
734,성동구,568,청계8가사거리 부근,서울특별시 동대문구 청계천로 417,10,325459.14266787196,4160065.6417026906
