,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,HOUS,POP,POP_10,POP_20,POP_30,POP_40,POP_50,POP_60_O
7861,서울특별시,11,마포구,11440,301250,554350,154.0,474.8,101.97,49.18,53.96,80.39,72.19,117.11
7862,서울특별시,11,마포구,11440,305550,549750,213.0,637.04,118.6,89.68,113.74,87.59,107.19,120.24
7863,서울특별시,11,마포구,11440,301550,554450,52.0,160.32,34.43,16.62,18.21,27.13,24.37,39.56
7864,서울특별시,11,마포구,11440,303250,552150,84.0,258.97,76.49,18.69,65.65,51.38,25.86,20.9
7865,서울특별시,11,성북구,11290,316450,558050,249.01,375.89,69.59,54.11,64.56,61.73,66.73,59.17
7866,서울특별시,11,성북구,11290,314850,556450,258.88,396.24,72.8,57.35,61.0,64.07,65.2,75.82
7867,서울특별시,11,성북구,11290,313650,555150,146.08,221.38,22.8,59.05,37.01,25.96,38.76,37.8
7868,서울특별시,11,성북구,11290,313550,554450,98.32,152.38,26.35,27.23,24.71,22.63,24.01,27.45
7869,서울특별시,11,성북구,11290,317550,557050,167.66,232.56,45.82,37.1,40.82,38.64,35.23,34.95
7870,서울특별시,11,성북구,11290,313350,554550,38.5,56.0,10.34,10.88,11.52,6.42,9.04,7.8
7871,서울특별시,11,성북구,11290,313350,555250,110.26,160.31,23.94,28.77,29.41,20.47,22.68,35.04
7872,서울특별시,11,성북구,11290,313950,554050,150.08,374.33,61.09,71.16,58.48,61.96,62.05,59.59
7873,서울특별시,11,성북구,11290,316250,557350,214.22,329.82,74.33,47.36,57.24,57.22,48.3,45.37
7874,서울특별시,11,성북구,11290,315950,557350,146.96,409.19,94.48,51.85,78.24,67.06,63.71,53.85
7875,서울특별시,11,성북구,11290,311450,556950,21.24,51.29,9.15,8.34,6.54,8.3,7.28,11.68
7876,서울특별시,11,성북구,11290,313250,556950,191.4,623.14,168.58,68.61,200.5,76.66,47.85,60.94
7877,서울특별시,11,성북구,11290,312350,557750,136.58,474.54,87.56,54.5,76.91,75.54,84.14,95.89
7878,서울특별시,11,성북구,11290,313150,556750,121.25,377.04,80.93,47.79,67.79,62.96,57.46,60.11
7879,서울특별시,11,성북구,11290,312050,557450,118.07,175.92,29.59,21.97,24.08,28.06,24.19,48.03
7880,서울특별시,11,성북구,11290,314950,555150,21.09,15.96,2.25,5.22,2.07,1.65,2.43,2.34
7881,서울특별시,11,성북구,11290,314750,555750,27.0,56.62,11.94,8.68,9.45,7.82,8.85,9.88
7882,서울특별시,11,성북구,11290,314050,556750,211.59,727.96,185.99,80.31,131.4,137.05,98.9,94.31
7883,서울특별시,11,성북구,11290,314850,556350,208.42,414.31,79.02,56.15,68.73,64.27,66.71,79.43
7884,서울특별시,11,성북구,11290,314850,556150,116.41,248.75,47.07,30.99,39.46,43.7,44.54,42.99
7885,서울특별시,11,성북구,11290,317050,556850,85.82,137.57,24.05,17.38,26.65,25.79,19.83,23.87
7886,서울특별시,11,성북구,11290,313250,553750,11.0,39.07,7.21,4.98,6.15,6.54,5.72,8.47
7887,서울특별시,11,성북구,11290,312750,556050,323.0,1131.6,236.17,143.12,215.23,208.71,155.4,172.97
7888,서울특별시,11,성북구,11290,314550,555650,284.0,994.49,189.87,139.35,136.24,194.95,157.36,176.72
7889,서울특별시,11,성북구,11290,313650,556950,140.0,484.41,109.04,60.97,113.79,72.69,66.31,61.61
7890,서울특별시,11,성북구,11290,315550,555650,87.0,303.92,49.4,47.51,56.61,45.11,50.15,55.14
7891,서울특별시,11,동작구,11590,308250,545350,15.76,10.72,1.8,2.32,1.98,1.36,1.46,1.8
7892,서울특별시,11,강남구,11680,321050,543250,177.0,511.78,64.22,92.36,38.13,64.08,104.58,148.41
7893,서울특별시,11,광진구,11215,320850,549350,75.0,357.79,120.14,24.51,60.76,97.12,40.72,14.54
7894,서울특별시,11,도봉구,11320,316450,564850,96.0,345.73,39.55,48.52,37.35,35.92,86.42,97.97
7895,서울특별시,11,강서구,11500,299050,551150,2.42,5.34,1.02,0.88,1.27,0.73,0.76,0.68
7896,서울특별시,11,구로구,11530,301050,545350,216.0,640.74,172.02,84.7,249.72,81.26,18.88,34.16
7897,서울특별시,11,서초구,11650,312550,544750,210.0,640.93,201.17,54.53,124.21,126.42,94.97,39.63
7898,서울특별시,11,강남구,11680,317250,543850,84.0,255.03,83.96,18.96,17.87,55.63,41.26,37.35
7899,서울특별시,11,강남구,11680,314350,547950,84.0,256.82,52.82,25.53,26.71,34.58,44.57,72.61
7900,서울특별시,11,동작구,11590,310050,543550,323.36,232.32,35.86,41.27,40.67,35.03,39.51,39.98
7901,서울특별시,11,동작구,11590,305950,545450,208.83,530.29,120.92,68.0,95.67,96.98,68.42,80.3
7902,서울특별시,11,동작구,11590,305950,546050,70.26,145.35,27.13,24.21,25.71,20.11,21.2,26.99
7903,서울특별시,11,동작구,11590,305450,544150,101.97,413.05,73.35,59.86,93.36,58.67,60.61,67.2
7904,서울특별시,11,동작구,11590,305650,544650,144.52,172.63,32.89,24.84,27.95,29.78,23.72,33.45
7905,서울특별시,11,동작구,11590,305850,544350,191.86,515.96,113.31,66.14,102.75,80.52,58.9,94.34
7906,서울특별시,11,동작구,11590,306450,545450,53.61,52.01,8.8,11.94,9.67,7.38,6.79,7.43
7907,서울특별시,11,동작구,11590,309950,543450,262.44,209.88,36.86,32.23,40.42,33.43,26.98,39.96
7908,서울특별시,11,동작구,11590,307550,545150,164.24,461.88,95.29,84.33,81.44,78.43,48.87,73.52
7909,서울특별시,11,동작구,11590,307950,545650,152.48,270.43,47.0,69.01,36.12,37.34,34.68,46.28
7910,서울특별시,11,동작구,11590,305950,544450,132.03,367.34,79.49,44.98,68.21,62.22,48.68,63.76
7911,서울특별시,11,동작구,11590,308950,542550,227.62,455.26,77.18,79.56,86.6,64.44,75.4,72.08
7912,서울특별시,11,동작구,11590,309550,542850,36.82,37.45,4.3,6.49,7.42,5.3,6.95,6.99
7913,서울특별시,11,동작구,11590,310150,544450,163.6,573.09,80.98,71.28,95.1,83.24,110.82,131.67
7914,서울특별시,11,동작구,11590,308850,545150,127.99,165.57,35.44,20.77,28.22,29.54,23.66,27.94
7915,서울특별시,11,동작구,11590,307250,544050,18.3,26.75,4.5,3.65,4.25,4.5,4.6,5.25
7916,서울특별시,11,동작구,11590,306850,545250,114.64,377.01,55.07,57.6,61.23,51.36,54.95,96.8
7917,서울특별시,11,동작구,11590,306350,545250,9.32,21.28,3.52,3.68,3.64,2.68,4.04,3.72
7918,서울특별시,11,동작구,11590,305550,546050,172.0,746.33,225.89,48.39,157.67,173.59,83.44,57.35
7919,서울특별시,11,동작구,11590,305450,545750,118.0,506.17,123.98,47.59,122.8,91.96,64.25,55.59
7920,서울특별시,11,중랑구,11260,320650,556550,17.51,21.35,4.78,3.15,2.98,4.23,3.53,2.68
7921,서울특별시,11,중랑구,11260,318750,554850,226.8,187.25,37.8,29.4,32.9,31.85,25.55,29.75
7922,서울특별시,11,중랑구,11260,319050,554650,311.38,319.86,62.87,48.59,64.76,50.39,41.06,52.19
7923,서울특별시,11,중랑구,11260,319250,554150,189.5,532.92,115.71,81.42,98.76,91.15,71.76,74.12
7924,서울특별시,11,중랑구,11260,319950,553550,201.24,242.6,45.14,41.66,44.86,36.72,33.5,40.72
7925,서울특별시,11,중랑구,11260,319550,552750,245.79,1141.8,148.65,263.28,137.33,109.12,284.06,199.36
7926,서울특별시,11,중랑구,11260,320450,554150,25.45,48.55,9.67,6.34,7.86,8.76,7.55,8.37
7927,서울특별시,11,중랑구,11260,320750,554450,227.89,815.07,162.12,124.16,130.02,138.91,135.53,124.33
7928,서울특별시,11,중랑구,11260,318450,555150,205.93,381.08,62.89,58.68,67.13,59.49,58.55,74.34
7929,서울특별시,11,중랑구,11260,320150,553350,195.15,496.59,93.21,72.66,87.68,81.55,78.42,83.07
7930,서울특별시,11,중랑구,11260,320850,554650,250.79,402.19,88.64,52.09,76.47,64.29,63.58,57.12
7931,서울특별시,11,중구,11140,308450,550550,4.36,9.88,2.2,1.06,2.16,1.76,1.48,1.22
7932,서울특별시,11,중랑구,11260,321550,555750,91.78,69.55,14.56,8.97,8.71,14.3,12.09,10.92
7933,서울특별시,11,중구,11140,311350,551650,21.09,48.35,7.17,5.99,6.33,8.2,9.26,11.4
7934,서울특별시,11,중구,11140,310950,551550,15.54,27.53,0.0,8.04,3.66,5.25,5.75,4.83
7935,서울특별시,11,중구,11140,311650,551650,9.99,22.83,3.75,3.03,3.03,3.6,4.2,5.22
7936,서울특별시,11,중구,11140,313150,551050,94.03,189.36,43.77,24.99,33.27,32.9,24.11,30.32
7937,서울특별시,11,중구,11140,313750,552150,126.22,283.01,54.43,36.61,40.23,49.85,46.26,55.63
7938,서울특별시,11,중구,11140,309950,552150,1.11,2.4,0.0,0.7,0.32,0.46,0.5,0.42
7939,서울특별시,11,중구,11140,312850,551650,103.51,233.52,43.64,30.47,41.76,42.1,36.37,39.18
7940,서울특별시,11,중랑구,11260,320950,556650,5.85,27.17,5.3,3.52,3.57,5.23,4.53,5.02
7941,서울특별시,11,중랑구,11260,320850,556950,9.75,46.4,7.5,5.9,5.5,7.8,7.8,11.9
7942,서울특별시,11,중랑구,11260,321650,555950,146.06,647.57,135.41,82.41,81.04,134.15,113.19,101.37
7943,서울특별시,11,중구,11140,311550,550750,1.11,2.44,0.47,0.34,0.32,0.38,0.47,0.46
7944,서울특별시,11,중랑구,11260,321250,555450,74.0,342.43,67.8,44.45,50.45,62.84,61.46,55.43
7945,서울특별시,11,중랑구,11260,319850,553150,328.0,1508.26,306.25,246.71,177.05,296.9,301.35,180.0
7946,서울특별시,11,중랑구,11260,318350,556850,86.0,388.08,73.98,42.72,94.95,59.41,57.88,59.14
7947,서울특별시,11,관악구,11620,304850,541450,259.49,310.51,68.75,32.96,51.33,59.33,47.88,50.26
7948,서울특별시,11,관악구,11620,304650,541150,78.69,119.42,23.01,12.57,21.41,20.37,16.01,26.05
7949,서울특별시,11,관악구,11620,305850,541850,116.79,90.44,13.26,15.98,17.0,13.09,13.77,17.34
7950,서울특별시,11,관악구,11620,304950,542650,375.69,387.78,75.24,58.53,73.96,59.35,59.39,61.31
7951,서울특별시,11,관악구,11620,304550,543250,454.37,304.43,66.59,43.94,75.1,49.68,34.82,34.3
7952,서울특별시,11,관악구,11620,304650,543150,208.44,335.65,92.34,35.4,70.96,66.27,37.51,33.17
7953,서울특별시,11,관악구,11620,302950,542550,91.24,210.85,24.72,36.72,47.95,34.0,32.68,34.78
7954,서울특별시,11,관악구,11620,304150,542250,67.66,148.78,34.24,18.21,25.39,28.84,22.57,19.53
7955,서울특별시,11,관악구,11620,304950,542750,481.49,338.47,52.92,66.26,64.02,50.47,50.98,53.82
7956,서울특별시,11,관악구,11620,305550,542650,23.67,16.02,1.17,4.2,3.54,1.71,2.16,3.24
