,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,PR_09,PR_10,PR_11
11362,서울특별시,11,강서구,11500,297550,548850,1830000.0,1910000.0,1925000.0
11363,서울특별시,11,강서구,11500,298550,548450,1520000.0,1600000.0,1620000.0
11364,서울특별시,11,강서구,11500,298550,548650,1550000.0,1630000.0,1650000.0
11365,서울특별시,11,강서구,11500,297850,548350,1420000.0,1510000.0,1530000.0
11366,서울특별시,11,강서구,11500,298850,548550,1510000.0,1640000.0,1670000.0
11367,서울특별시,11,강서구,11500,298950,548950,1140000.0,1210000.0,1240000.0
11368,서울특별시,11,강서구,11500,299650,548750,2550000.0,2630000.0,2640000.0
11369,서울특별시,11,강서구,11500,299550,548350,2940000.0,3030000.0,3030000.0
11370,서울특별시,11,강서구,11500,299150,548450,2350000.0,2420000.0,2440000.0
11371,서울특별시,11,강서구,11500,299350,548250,1700000.0,1785000.0,1815000.0
11372,서울특별시,11,강서구,11500,299050,548250,1520000.0,1600000.0,1630000.0
11373,서울특별시,11,강서구,11500,299150,548550,1470000.0,1560000.0,1590000.0
11374,서울특별시,11,강서구,11500,298850,548150,2110000.0,2170000.0,2190000.0
11375,서울특별시,11,강서구,11500,298150,547950,1880000.0,1970000.0,1990000.0
11376,서울특별시,11,강서구,11500,297950,548050,2350000.0,2420000.0,2426666.66667
11377,서울특별시,11,강서구,11500,298650,550150,1460000.0,1550000.0,1580000.0
11378,서울특별시,11,강서구,11500,297050,549450,2600000.0,2660000.0,2680000.0
11379,서울특별시,11,강서구,11500,297550,549450,2665000.0,2750000.0,2775000.0
11380,서울특별시,11,강서구,11500,297250,549250,1690000.0,1770000.0,1790000.0
11381,서울특별시,11,강서구,11500,297550,549350,5170000.0,5270000.0,5270000.0
11382,서울특별시,11,강서구,11500,297550,549250,1600000.0,1680000.0,1700000.0
11383,서울특별시,11,강서구,11500,299150,550250,77000.0,81000.0,83000.0
11384,서울특별시,11,관악구,11620,309750,541650,2360000.0,2440000.0,2480000.0
11385,서울특별시,11,관악구,11620,310150,541750,2670000.0,2760000.0,2760000.0
11386,서울특별시,11,관악구,11620,309950,541850,2670000.0,2760000.0,2800000.0
11387,서울특별시,11,관악구,11620,309350,541950,2520000.0,2610000.0,2650000.0
11388,서울특별시,11,관악구,11620,308150,543650,1700000.0,1780000.0,1840000.0
11389,서울특별시,11,관악구,11620,308150,543550,2186666.66667,2290000.0,2360000.0
11390,서울특별시,11,관악구,11620,308150,543450,4460000.0,4670000.0,4720000.0
11391,서울특별시,11,관악구,11620,307750,543050,3550000.0,3675000.0,3717500.0
11392,서울특별시,11,관악구,11620,307650,543450,1580000.0,1640000.0,1670000.0
11393,서울특별시,11,관악구,11620,307750,543150,3690000.0,3820000.0,3850000.0
11394,서울특별시,11,관악구,11620,307650,543050,1930000.0,2000000.0,2035000.0
11395,서울특별시,11,관악구,11620,308250,542850,1640000.0,1830000.0,1920000.0
11396,서울특별시,11,관악구,11620,308650,541650,2060000.0,2130000.0,2130000.0
11397,서울특별시,11,관악구,11620,307150,543150,2123333.33333,2196666.66667,2236666.66667
11398,서울특별시,11,관악구,11620,307150,543650,2420000.0,2650000.0,2750000.0
11399,서울특별시,11,관악구,11620,307150,543450,1900000.0,1970000.0,2000000.0
11400,서울특별시,11,관악구,11620,306550,543650,1300000.0,1350000.0,1370000.0
11401,서울특별시,11,관악구,11620,306450,543450,1660000.0,1720000.0,1750000.0
11402,서울특별시,11,관악구,11620,306050,543450,1500000.0,1550000.0,1580000.0
11403,서울특별시,11,관악구,11620,305550,543550,2990000.0,3095000.0,3130000.0
11404,서울특별시,11,관악구,11620,307350,542750,7420000.0,7680000.0,7740000.0
11405,서울특별시,11,관악구,11620,307350,542650,4690000.0,4850000.0,4890000.0
11406,서울특별시,11,관악구,11620,307150,542450,3590000.0,3715000.0,3755000.0
11407,서울특별시,11,관악구,11620,307050,543150,3210000.0,3325000.0,3365000.0
11408,서울특별시,11,관악구,11620,306850,542850,2912500.0,3015000.0,3055000.0
11409,서울특별시,11,관악구,11620,306750,542550,2470000.0,2560000.0,2600000.0
11410,서울특별시,11,관악구,11620,306750,542750,7030000.0,7280000.0,7340000.0
11411,서울특별시,11,관악구,11620,306550,543250,2960000.0,3045000.0,3080000.0
11412,서울특별시,11,관악구,11620,305950,543550,1820000.0,1880000.0,1910000.0
11413,서울특별시,11,관악구,11620,306450,542350,2430000.0,2520000.0,2640000.0
11414,서울특별시,11,관악구,11620,306550,542350,3100000.0,3210000.0,3260000.0
11415,서울특별시,11,관악구,11620,306650,542450,3950000.0,4090000.0,4120000.0
11416,서울특별시,11,관악구,11620,307350,542350,4136666.66667,4280000.0,4323333.33333
11417,서울특별시,11,관악구,11620,307350,542250,2240000.0,2320000.0,2360000.0
11418,서울특별시,11,관악구,11620,307850,542050,2170000.0,2250000.0,2290000.0
11419,서울특별시,11,관악구,11620,307950,542250,3075000.0,3180000.0,3225000.0
11420,서울특별시,11,관악구,11620,307850,542250,2510000.0,2600000.0,2640000.0
11421,서울특별시,11,관악구,11620,308550,541950,2830000.0,2930000.0,2970000.0
11422,서울특별시,11,관악구,11620,308650,542050,2560000.0,2650000.0,2700000.0
11423,서울특별시,11,관악구,11620,308450,542350,2960000.0,3060000.0,3100000.0
11424,서울특별시,11,동작구,11590,306450,543750,120000.0,124000.0,125000.0
11425,서울특별시,11,관악구,11620,305950,542750,1530000.0,1600000.0,1660000.0
11426,서울특별시,11,관악구,11620,306050,542450,1350000.0,1400000.0,1440000.0
11427,서울특별시,11,관악구,11620,306450,542250,1320000.0,1400000.0,1440000.0
11428,서울특별시,11,관악구,11620,306350,541950,2195000.0,2275000.0,2305000.0
11429,서울특별시,11,관악구,11620,306650,541950,1510000.0,1560000.0,1600000.0
