,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,BANK_NM
127,서울특별시,11,종로구,11110,311699,552366,하나은행
128,서울특별시,11,종로구,11110,309360,556643,하나은행
129,서울특별시,11,종로구,11110,311730,554760,하나은행
130,서울특별시,11,종로구,11110,309264,552933,한국씨티
131,서울특별시,11,종로구,11110,309274,552346,한국씨티
132,서울특별시,11,종로구,11110,311821,553043,한국씨티
133,서울특별시,11,종로구,11110,310462,552660,한국씨티
134,서울특별시,11,중구,11140,310669,552064,IBK기업은행
135,서울특별시,11,중구,11140,310669,552064,IBK기업은행
136,서울특별시,11,중구,11140,309468,551218,IBK기업은행
137,서울특별시,11,중구,11140,309832,551416,IBK기업은행
138,서울특별시,11,중구,11140,310533,551407,IBK기업은행
139,서울특별시,11,중구,11140,310049,552199,IBK기업은행
140,서울특별시,11,중구,11140,310669,552064,IBK기업은행
141,서울특별시,11,중구,11140,309609,551677,IBK기업은행
142,서울특별시,11,중구,11140,313666,551974,IBK기업은행
143,서울특별시,11,중구,11140,313543,551631,IBK기업은행
144,서울특별시,11,중구,11140,312758,550633,IBK기업은행
145,서울특별시,11,중구,11140,310669,552064,IBK기업은행
146,서울특별시,11,중구,11140,312625,552229,IBK기업은행
147,서울특별시,11,중구,11140,311437,551773,IBK기업은행
148,서울특별시,11,중구,11140,311897,552334,IBK기업은행
149,서울특별시,11,중구,11140,311478,551560,IBK기업은행
150,서울특별시,11,중구,11140,309748,551456,KB국민은행
151,서울특별시,11,중구,11140,312653,550065,KB국민은행
152,서울특별시,11,중구,11140,312467,552288,KB국민은행
153,서울특별시,11,중구,11140,310324,551863,KB국민은행
154,서울특별시,11,중구,11140,310324,551863,KB국민은행
155,서울특별시,11,중구,11140,310637,551486,KB국민은행
156,서울특별시,11,중구,11140,310324,551863,KB국민은행
157,서울특별시,11,중구,11140,310579,551760,KB국민은행
158,서울특별시,11,중구,11140,309962,552255,KB국민은행
159,서울특별시,11,중구,11140,309735,551692,KB국민은행
160,서울특별시,11,중구,11140,309429,551610,KB국민은행
161,서울특별시,11,중구,11140,309635,551770,KB국민은행
162,서울특별시,11,중구,11140,309846,550846,KB국민은행
163,서울특별시,11,중구,11140,313800,551992,KB국민은행
164,서울특별시,11,중구,11140,309974,551806,KB국민은행
165,서울특별시,11,중구,11140,309958,551815,KB국민은행
166,서울특별시,11,중구,11140,309746,551289,KB국민은행
167,서울특별시,11,중구,11140,313072,551905,KB국민은행
168,서울특별시,11,중구,11140,313052,552180,KB국민은행
169,서울특별시,11,중구,11140,310157,552297,KB국민은행
170,서울특별시,11,중구,11140,312103,551818,KB국민은행
171,서울특별시,11,중구,11140,310977,552068,KB국민은행
172,서울특별시,11,중구,11140,311967,552050,KB국민은행
173,서울특별시,11,중구,11140,310396,552066,KB국민은행
174,서울특별시,11,중구,11140,312532,551178,KB국민은행
175,서울특별시,11,중구,11140,311193,551768,KB국민은행
176,서울특별시,11,중구,11140,311355,552245,KB국민은행
177,서울특별시,11,중구,11140,313029,551337,KB국민은행
178,서울특별시,11,중구,11140,311450,551544,KB국민은행
179,서울특별시,11,중구,11140,309791,552278,KB국민은행
180,서울특별시,11,중구,11140,309987,551307,KB국민은행
181,서울특별시,11,중구,11140,312397,552143,SC제일은행
182,서울특별시,11,중구,11140,311855,551129,SC제일은행
183,서울특별시,11,중구,11140,312629,552297,SC제일은행
184,서울특별시,11,중구,11140,310405,551889,SC제일은행
185,서울특별시,11,중구,11140,310637,551486,SC제일은행
186,서울특별시,11,중구,11140,310178,552068,SC제일은행
187,서울특별시,11,중구,11140,309560,551652,SC제일은행
188,서울특별시,11,중구,11140,309560,551652,SC제일은행
189,서울특별시,11,중구,11140,313800,551992,SC제일은행
190,서울특별시,11,중구,11140,311463,552015,SC제일은행
191,서울특별시,11,중구,11140,310122,551457,SC제일은행
192,서울특별시,11,중구,11140,311221,551541,SC제일은행
193,서울특별시,11,중구,11140,310081,551595,SC제일은행
194,서울특별시,11,중구,11140,309352,551674,경남은행
195,서울특별시,11,중구,11140,310257,552234,광주은행
196,서울특별시,11,중구,11140,309893,552192,농협중앙회
197,서울특별시,11,중구,11140,309663,551222,농협중앙회
198,서울특별시,11,중구,11140,310608,551811,농협중앙회
199,서울특별시,11,중구,11140,309539,550717,농협중앙회
200,서울특별시,11,중구,11140,313303,551793,농협중앙회
201,서울특별시,11,중구,11140,311793,552099,농협중앙회
202,서울특별시,11,중구,11140,311526,552021,농협중앙회
203,서울특별시,11,중구,11140,309065,552108,농협중앙회
204,서울특별시,11,중구,11140,311189,551496,농협중앙회
205,서울특별시,11,중구,11140,309875,551826,농협중앙회
206,서울특별시,11,중구,11140,309875,551826,농협중앙회
207,서울특별시,11,중구,11140,312423,552285,농협중앙회
208,서울특별시,11,중구,11140,309934,551252,농협중앙회
209,서울특별시,11,중구,11140,310153,551767,대구은행
210,서울특별시,11,중구,11140,310046,552068,부산은행
211,서울특별시,11,중구,11140,312907,552336,수협은행
212,서울특별시,11,중구,11140,313222,551931,수협은행
213,서울특별시,11,중구,11140,311876,551843,수협은행
214,서울특별시,11,중구,11140,310356,552270,신한은행
215,서울특별시,11,중구,11140,310356,552270,신한은행
216,서울특별시,11,중구,11140,310356,552270,신한은행
217,서울특별시,11,중구,11140,309773,552307,신한은행
218,서울특별시,11,중구,11140,309620,551474,신한은행
219,서울특별시,11,중구,11140,309843,551485,신한은행
220,서울특별시,11,중구,11140,309746,551289,신한은행
221,서울특별시,11,중구,11140,309584,550948,신한은행
222,서울특별시,11,중구,11140,312653,550065,신한은행
223,서울특별시,11,중구,11140,309620,551474,신한은행
