,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,HOUS,POP,CLSS
22889,서울특별시,11,종로구,11110,308050,557050,14.48,31.38,6
22890,서울특별시,11,양천구,11470,298150,547750,136.56,462.07,4
22891,서울특별시,11,광진구,11215,320750,549050,72.0,340.41,6
22892,서울특별시,11,광진구,11215,318450,550850,228.15,344.64,4
22893,서울특별시,11,강동구,11740,323150,547950,125.84,378.81,5
22894,서울특별시,11,관악구,11620,307750,542350,252.98,274.29,4
22895,서울특별시,11,강서구,11500,295850,550850,7.26,5.31,5
22896,서울특별시,11,영등포구,11560,302850,544450,11.03,30.07,3
22897,서울특별시,11,양천구,11470,300750,549050,210.0,735.35,9
22898,서울특별시,11,강남구,11680,314950,547750,8.36,10.7,6
22899,서울특별시,11,중랑구,11260,319150,554650,185.89,413.94,2
22900,서울특별시,11,양천구,11470,298750,547050,187.79,133.69,3
22901,서울특별시,11,양천구,11470,299850,549450,146.46,472.2,5
22902,서울특별시,11,관악구,11620,307050,542650,64.15,81.49,4
22903,서울특별시,11,강남구,11680,316550,546450,57.34,77.96,10
22904,서울특별시,11,강동구,11740,325050,548150,2.53,5.34,1
22905,서울특별시,11,강서구,11500,294150,554050,29.65,26.75,4
22906,서울특별시,11,중구,11140,310250,551650,1.11,2.31,5
22907,서울특별시,11,마포구,11440,305650,550650,138.0,388.16,5
22908,서울특별시,11,도봉구,11320,315550,563550,240.98,257.47,2
22909,서울특별시,11,강남구,11680,316250,547250,165.0,478.77,8
22910,서울특별시,11,구로구,11530,301550,545550,154.77,461.48,5
22911,서울특별시,11,동작구,11590,305850,545850,119.2,193.18,4
22912,서울특별시,11,구로구,11530,296250,545050,3.34,10.65,1
22913,서울특별시,11,강동구,11740,325650,549750,18.0,72.18,6
22914,서울특별시,11,송파구,11710,322850,542750,227.3,668.92,5
22915,서울특별시,11,구로구,11530,298150,545550,97.37,203.24,4
22916,서울특별시,11,송파구,11710,321950,546150,51.31,54.88,5
22917,서울특별시,11,금천구,11545,301650,542850,17.71,26.01,4
22918,서울특별시,11,양천구,11470,300850,549650,144.92,461.66,5
22919,서울특별시,11,노원구,11350,317650,557350,3.05,5.35,6
22920,서울특별시,11,강북구,11305,313650,557350,281.0,1003.1,2
22921,서울특별시,11,마포구,11440,306650,549450,131.6,316.67,4
22922,서울특별시,11,성동구,11200,315550,551650,115.06,86.04,4
22923,서울특별시,11,영등포구,11560,303550,544650,273.79,352.06,2
22924,서울특별시,11,광진구,11215,318750,550750,107.74,185.35,4
22925,서울특별시,11,관악구,11620,304650,541650,119.13,163.19,4
22926,서울특별시,11,서초구,11650,313250,543850,109.57,185.1,5
